Student_ID,Age,Gender,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Screen_Time_Hours_Per_Day,Attendance_Percent,Stress_Level,Assignments_Completed_Percent,Extracurricular_Activity,GPA
S001,21,Female,4.5,6.9,5.4,71.8,2.9,85.9,Yes,4.0
S002,23,Male,3.6,7.3,4.1,86.7,4.0,77.3,Yes,4.0
S003,22,Female,1.1,6.6,5.9,73.7,5.6,74.0,No,4.0
S004,18,Female,5.2,7.1,4.0,87.3,3.5,84.1,Yes,4.0
S005,23,Male,2.9,7.0,5.0,93.4,5.8,90.4,Yes,4.0
S006,21,Other,3.0,7.6,6.8,81.2,2.6,82.1,No,4.0
S007,19,Female,2.2,7.6,4.0,80.5,5.5,62.4,No,4.0
S008,21,Female,2.8,5.2,6.5,100.0,5.6,73.2,Yes,4.0
S009,24,Male,4.4,4.6,6.2,79.3,4.7,79.9,Yes,4.0
S010,23,Male,3.5,7.8,3.3,71.3,1.8,75.0,No,4.0
S011,23,Male,4.3,8.0,6.8,84.8,4.6,87.6,No,4.0
S012,20,Female,4.3,5.8,6.3,84.9,1.7,82.9,No,4.0
S013,23,Female,5.8,4.9,5.2,80.7,4.8,77.3,Yes,4.0
S014,20,Female,3.3,6.9,3.6,68.6,2.2,79.7,Yes,4.0
S015,22,Male,1.6,7.7,3.5,93.6,4.5,58.0,Yes,4.0
S016,22,Male,5.4,8.6,4.0,87.1,2.4,92.3,No,4.0
S017,18,Female,3.3,7.3,6.0,71.3,5.9,68.6,Yes,4.0
S018,19,Male,5.5,6.4,3.3,92.7,2.9,91.9,Yes,4.0
S019,17,Female,4.4,5.9,5.8,80.2,3.6,100.0,No,4.0
S020,18,Female,3.6,6.8,2.8,76.5,3.1,84.6,No,4.0
S021,20,Female,4.3,6.5,4.6,86.0,5.5,87.2,No,4.0
S022,20,Male,6.7,5.8,5.2,76.5,3.9,87.0,No,4.0
S023,18,Other,6.9,8.8,9.4,91.9,2.7,100.0,No,4.0
S024,20,Female,3.9,8.6,2.5,96.9,2.6,92.4,No,4.0
S025,21,Female,4.0,7.9,7.6,84.2,2.5,81.0,Yes,4.0
S026,18,Male,5.4,5.9,5.3,80.8,4.3,100.0,No,4.0
S027,19,Male,2.5,7.7,5.7,70.9,,68.1,No,4.0
S028,19,Male,4.3,7.4,5.2,77.2,4.7,83.0,No,4.0
S029,21,Male,3.8,7.2,5.8,77.1,4.4,78.2,No,4.0
S030,19,Female,4.3,8.0,4.7,77.5,6.3,83.5,No,4.0
